field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels,neon_url
D06,MCDI,McDiffett Creek NEON,Gradient Aquatic,Wadeable Stream,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,38.945861,-96.443022,WGS84,4313704.71,721693.8516,14N,Wabaunsee,KS,USA,396,,,12.2,921,,,Cultivated Crops|Grassland/Herbaceous,,[h10270102](https://water.usgs.gov/lookup/getwatershed?10270102),Middle Kansas,22.6,,,,KSPc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.MCDI.DP1.20002),,https://ww.neonscience.org/field-sites/mcdi
D16,MCRA,McRae Creek NEON,Gradient Aquatic,Wadeable Stream,,"US Forest Service, Oregon State University",https://andrewsforest.oregonstate.edu/,Yes,Researchers should coordinate directly with the US Forest Service and HJ Andrews Experimental Forest for permitting and approval.,Domain 16 Support Facility,44.259598,-122.16555,WGS84,4901044.973,566608.6324,10N,Linn,OR,USA,876,,,8.8,2188,,,Evergreen Forest,,[h17090004](https://water.usgs.gov/lookup/getwatershed?17090004),Mckenzie,3.9,,,,ORTfc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D16.MCRA.DP1.20002),,https://ww.neonscience.org/field-sites/mcra
D02,POSE,Posey Creek NEON,Core Aquatic,Wadeable Stream,SCBI,Smithsonian Institution,,,,Domain 02 Support Facility,38.89431,-78.147258,WGS84,4308808.691,747457.7533,17N,Warren,VA,USA,276,,,11.8,1090,,,Deciduous Forest,,[h02070005](https://water.usgs.gov/lookup/getwatershed?02070005),South Fork Shenandoah,2,,,,VACAZc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.POSE.DP1.20002),,https://ww.neonscience.org/field-sites/pose
D11,PRIN,Pringle Creek NEON,Core Aquatic,Wadeable Stream,CLBJ,US Forest Service,https://www.fs.usda.gov/detail/texas/about-forest/districts/?cid=fswdev3_008440,Very Limited,Researchers should coordinate directly with the US Forest Service for permitting and approval. Site host is very limited to external research requests.,Domain 11 Support Facility,33.378517,-97.782312,WGS84,3693920.968,613271.5081,14N,Wise,TX,USA,253,,,17.5,898,,,Deciduous Forest|Grassland/Herbaceous,,[h12030101](https://water.usgs.gov/lookup/getwatershed?12030101),Upper West Fork Trinity,48.9,,,,TXKa;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.PRIN.DP1.20002),,https://ww.neonscience.org/field-sites/prin
D09,PRLA,Prairie Lake NEON,Gradient Aquatic,Lake,DCFS,North Dakota Land Trust,https://www.land.nd.gov/,Yes,Reseachers should coordinate with the site manager.,Domain 09 Support Facility,47.15909,-99.11388,WGS84,5222849.742,491367.9402,14N,Stutsman,ND,USA,565,,,4.9,490,,,Grassland/Herbaceous,,[h10160002](https://water.usgs.gov/lookup/getwatershed?10160002),Pipestem,3.4,2.1,4.9,,NDQct;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.PRLA.DP1.20002),,https://ww.neonscience.org/field-sites/prla
D09,PRPO,Prairie Pothole NEON,Core Aquatic,Lake,WOOD,US Fish and Wildlife Service,https://www.fws.gov/refuge/chase_lake/,Yes,This site host welcomes and encourages additional research activities related to the US Fish And Wildlife mission.,Domain 09 Support Facility,47.129839,-99.253147,WGS84,5219640.042,480997.9682,14N,Stutsman,ND,USA,579,,,4.9,494,,,Grassland/Herbaceous,,[h07050002](https://water.usgs.gov/lookup/getwatershed?07050002),Pipestem,2.1,1.7,4.1,,NDQccr;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.PRPO.DP1.20002),,https://ww.neonscience.org/field-sites/prpo
D03,SUGG,Lake Suggs NEON,Core Aquatic,Lake,OSBS,University of Florida Foundation,https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,29.68778,-82.017745,WGS84,3284541.044,401683.9696,17N,Putnam,FL,USA,32,,,20.9,1308,,,Evergreen Forest|Woody Wetlands,,,,39.6,2.1,3.2,,FLPOc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.SUGG.DP1.20002),,https://ww.neonscience.org/field-sites/sugg
D08,TOMB,Lower Tombigbee River NEON,Gradient Aquatic,Non-wadeable River,LENO,US Army Corps of Engineers|Private,https://www.fws.gov/refuge/choctaw/|NA,Limited / Very Limited,"This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible. / Very limited available via private land owner.",Domain 08 Support Facility,31.853431,-88.158872,WGS84,3524629.254,390152.1672,16N,Choctaw,AL,USA,20,,,18.1,1386,,,Mixed Forest,,[h03160201](https://water.usgs.gov/lookup/getwatershed?03160201),Middle Tombigbee-Chickasaw,47085.3,,,,ALHalt;0|ALwater;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.TOMB.DP1.20002),,https://ww.neonscience.org/field-sites/tomb
D18,TOOK,Toolik Lake NEON,Gradient Aquatic,Lake,TOOL,Bureau of Land Management,https://toolik.alaska.edu/user_guide/permits.php,Yes,Reseachers should coordinate with the site manager and submit a site research permit via Toolik Field Station.,Domain 18/19 Support Facility,68.630692,-149.61064,WGS84,7615309.612,393866.9558,6N,North Slope,AK,USA,715,,,-9,316,,,Dwarf Scrub,,[h19060401](https://water.usgs.gov/lookup/getwatershed?19060401),Kuparuk River,67.6,8.5,27,,A002.PS001_102,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D18.TOOK.DP1.20002),,https://ww.neonscience.org/field-sites/took
D07,WALK,Walker Branch NEON,Core Aquatic,Wadeable Stream,ORNL,Department of Energy,https://www.ornl.gov/division/esd,Very Limited,There is currently no system in place to authorize access for additional research activities to this federally secure area. Coordinate directly with site manager.,Domain 07 Support Facility,35.957378,-84.279251,WGS84,3982872.555,745264.058,16N,Anderson,TN,USA,264,,,14.4,1340,,,Deciduous Forest,,[h06010207](https://water.usgs.gov/lookup/getwatershed?06010207),Lower Clinch,1.1,,,,TNOnc;10,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.WALK.DP1.20002),,https://ww.neonscience.org/field-sites/walk
D13,WLOU,West St Louis Creek NEON,Gradient Aquatic,Wadeable Stream,,US Forest Service,https://www.fs.usda.gov/wps/portal/fsinternet/cs/main/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zijQwgwNHCwN_DI8zPwBcqYKBfkO2oCADIwpjI/?pname=Arapaho%2F&ss=110210&pnavid=null&navid=091000000000000&ttype=main&cid=null,Yes,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 10/13 Support Facility,39.891366,-105.9154,WGS84,4416100.982,421737.8532,13N,Grand,CO,USA,2908,,,1.5,655,,,Evergreen Forest,,[h14010001](https://water.usgs.gov/lookup/getwatershed?14010001),Colorado headwaters,4.9,,,,COXb;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.WLOU.DP1.20002),,https://ww.neonscience.org/field-sites/wlou
